350
33 188
1 21 291502
20 22 99921
7 12 119284
18 6 87156
9 8 286331
24 15 110896
26 30 152554
26 29 144027
29 9 447683
18 3 111510
32 20 128367
30 20 280604
6 12 187291
25 3 257314
7 14 258916
11 28 176850
28 14 242716
13 10 183920
28 21 255517
1 25 314509
26 19 187232
25 30 134070
4 25 169775
7 28 299251
17 25 136020
31 7 168634
22 15 251381
12 11 171261
6 17 50380
28 2 165327
23 8 193199
6 32 122479
29 33 242433
17 2 107296
22 27 121923
29 23 201559
23 16 99690
31 21 219706
1 33 362345
23 11 204780
18 2 144078
19 9 457669
3 9 373750
29 27 206889
3 19 199231
33 27 243343
25 24 214752
25 8 113255
9 27 380279
17 21 44321
21 4 123606
1 31 180456
28 1 293753
31 17 186279
4 5 174654
26 7 246499
22 30 240181
21 32 105546
14 2 233324
30 23 193032
18 9 345878
12 4 216200
20 16 114588
20 31 112907
11 19 159757
23 17 170434
19 22 212273
6 31 218642
19 13 245008
19 4 227858
19 5 193336
10 32 21744
16 30 217858
31 30 167697
30 14 142276
25 23 306454
8 13 194151
28 22 212903
20 2 227627
24 27 195771
15 13 275906
16 5 33604
12 22 163478
10 5 187607
33 7 340458
15 11 93750
7 27 208271
22 1 313494
15 7 254336
20 26 190772
6 30 197488
26 23 175874
27 26 218411
22 25 259305
15 32 199862
18 12 180836
25 9 399586
28 31 171200
13 26 222356
19 18 207723
12 13 140854
22 31 212828
30 28 280994
6 15 132940
11 22 157631
4 31 212871
17 3 193822
31 8 191033
5 30 251462
17 12 136915
1 2 195963
19 25 58083
32 17 72105
32 31 114160
26 12 131475
9 7 423196
19 29 84514
10 14 182698
3 22 102774
16 25 206764
10 29 232436
9 6 258722
26 3 199262
19 2 255869
26 5 109788
31 23 174813
10 26 88409
11 24 113078
2 9 257822
11 5 138694
19 31 156926
33 31 181889
5 3 121711
24 28 193996
27 12 88987
23 32 190273
33 8 240400
1 9 453785
8 26 28205
16 29 209331
4 9 229811
33 15 267591
21 20 229653
22 14 235361
11 1 212835
1 16 317925
31 16 227495
17 8 22765
9 12 303912
19 23 254856
31 27 138337
14 5 230376
4 30 226399
19 16 159732
21 26 38881
16 17 70744
10 23 168529
1 30 186755
7 24 249333
6 27 217815
11 20 197082
23 12 125463
5 17 104348
2 24 209190
13 32 205664
24 18 65112
1 5 294542
29 14 150803
12 25 264359
16 10 164593
12 3 69838
29 24 95525
8 18 59547
24 10 173115
5 27 140860
17 19 185826
26 11 39786
1 17 247181
21 13 261237
23 1 332004
19 32 253897
15 30 197894
5 12 144541
31 13 190204
28 23 165754
1 8 224416
7 32 184094
5 21 148669
38 58
23 18 513303
28 32 553064
29 26 68729
29 14 367851
33 37 822413
8 27 474759
26 5 568877
23 10 542598
22 38 662336
33 21 451152
30 18 504860
2 16 318034
24 33 531960
4 17 105045
35 33 334673
38 4 286644
28 4 153859
25 13 837181
6 38 252106
3 11 893263
12 7 180893
3 5 687927
12 34 544566
11 31 608714
9 37 780651
30 38 491984
26 27 476947
26 25 505558
10 27 438222
1 11 272101
20 19 522373
23 9 213470
22 37 512323
36 27 603089
26 17 260609
34 10 752806
23 35 606270
11 15 577845
2 21 138933
12 29 336684
33 12 492522
17 2 101095
34 24 594707
31 7 283349
35 21 172338
11 6 639760
26 6 375286
29 6 306557
22 2 379642
32 30 575593
36 21 424589
37 18 626482
33 9 606001
17 12 135828
29 28 378152
9 4 456499
8 5 224903
4 10 573418
25 132
14 4 223602
10 21 364589
3 11 368441
21 17 224738
8 6 290214
23 13 381779
10 7 428573
3 19 145092
22 11 212065
7 15 246823
25 3 111129
17 13 224678
15 3 306666
13 6 234324
15 18 230683
1 6 128772
16 13 332310
13 10 577356
17 1 268192
18 7 100475
9 25 167856
13 19 393243
19 25 122062
11 9 224842
8 14 286994
19 24 144667
22 7 242068
17 14 277103
1 2 61174
17 7 213090
20 16 465912
22 21 176690
9 21 160447
12 4 35168
11 1 337393
19 12 103071
13 24 396636
2 22 196940
15 25 247026
9 18 151513
12 9 148865
6 15 320493
20 12 522395
10 5 431217
23 6 235842
19 14 155699
16 4 98392
15 4 239126
20 15 614778
18 12 2648
12 2 200242
9 19 154043
20 22 681171
14 11 302811
20 21 519682
23 10 349756
8 9 285338
16 1 128730
11 21 331166
15 17 343298
12 14 192807
3 20 501439
14 10 397598
24 17 273504
12 15 228035
18 2 202890
11 18 273655
14 21 149295
13 22 532823
1 25 139234
17 3 240087
2 17 303695
8 3 276387
19 4 67903
19 17 218334
3 13 367837
14 15 157139
18 22 276005
8 22 301581
14 23 141652
14 5 87040
20 1 496698
11 12 276303
22 25 292348
2 9 51377
14 7 89684
17 16 178487
17 4 150431
4 22 238189
18 14 190159
4 3 165288
23 15 151580
8 24 275962
22 12 273357
21 19 6404
18 3 127472
11 4 311471
19 11 324762
21 23 161853
8 17 349629
7 1 55102
15 22 66393
8 12 234366
16 11 339527
10 11 94787
25 11 257312
16 19 158877
3 24 236872
16 25 82215
22 24 136187
3 9 227496
4 23 87546
16 9 212089
6 9 241323
20 6 367926
22 14 223532
15 24 69794
2 23 168244
15 5 244179
21 25 128466
3 10 455570
8 4 199198
5 12 105767
19 2 182291
9 13 387260
2 10 371006
7 5 2644
18 17 112615
18 16 65872
12 1 158225
6 17 269732
24 2 60753
45 509
37 22 64106
21 29 100032
17 28 92550
21 25 95894
12 1 131377
5 41 128402
21 32 93645
42 4 103366
9 43 61503
27 14 6012
37 15 33592
15 26 103431
20 7 123096
33 2 105040
20 28 97523
43 42 69716
42 18 90147
6 13 120020
32 36 93965
45 40 128889
20 16 111265
43 1 104628
17 3 9718
38 40 43390
37 38 7617
24 45 170592
25 9 55960
11 42 57730
12 2 99421
25 17 174990
15 41 117203
5 27 76102
14 23 120574
7 32 39613
38 17 65347
35 6 127039
14 33 86413
32 3 114223
19 42 67273
26 24 186682
20 13 128843
6 41 13012
33 25 113505
36 4 47760
26 20 187366
3 24 117764
34 36 83461
8 41 126998
36 33 31509
10 44 112835
32 37 73935
43 8 103257
26 16 197529
6 36 97301
35 17 122732
7 37 110373
3 41 123899
32 6 3336
8 24 50206
29 10 111216
25 20 65096
23 34 93806
42 35 11915
17 10 112941
38 2 108902
10 19 72464
12 20 136533
36 15 53622
38 14 82551
5 2 162997
28 12 39026
44 17 225776
35 7 110258
39 11 2522
14 25 126318
28 43 35023
1 29 103223
11 34 95610
29 11 26069
21 20 49070
1 15 83160
40 6 109947
19 43 47924
12 35 131099
42 29 81771
26 40 172796
5 36 89802
37 29 76335
36 7 91231
12 23 129240
27 4 135824
30 3 167331
8 7 93502
42 17 127243
16 42 110342
34 7 96850
34 43 107596
20 23 111969
5 3 119760
37 40 35773
8 28 102514
14 36 94964
31 17 152758
21 17 104397
39 12 84696
12 31 99218
2 6 69131
13 29 140560
26 35 181932
22 34 106102
11 28 48208
31 8 71350
4 9 95153
21 7 90691
16 44 196512
24 7 122412
5 40 105545
2 10 156496
44 23 155486
24 12 135849
30 23 149725
37 42 77237
36 23 101968
36 31 60652
5 16 128907
40 31 76395
11 40 64395
36 16 54901
28 31 60208
30 40 125214
10 36 60007
7 11 66483
18 30 181443
36 35 92533
27 26 125991
43 32 58498
28 34 83017
35 15 103394
23 7 124831
38 16 82548
25 41 112792
33 31 91273
19 3 95733
22 45 136606
25 43 117463
2 32 65795
40 8 118701
14 8 112112
8 2 141146
40 18 186508
34 8 87847
2 44 230602
11 6 102748
40 27 104695
12 17 131560
31 6 119792
15 20 111752
19 9 75486
1 2 135144
7 2 47644
39 15 94054
2 16 142002
9 17 119030
30 17 177049
40 20 113710
44 42 139423
9 21 39934
40 41 119384
7 43 98111
28 24 96839
34 27 57180
35 31 65233
25 12 155730
21 2 138335
15 8 138569
5 18 146949
37 23 121110
14 37 74934
14 42 62145
22 25 55077
26 10 97046
18 4 160183
1 31 104642
6 45 104634
40 36 16631
26 37 137023
43 38 7820
5 1 28272
12 8 141524
11 22 13840
31 15 108576
18 34 128027
37 25 119183
24 4 86701
24 37 77476
44 22 130327
3 20 118448
45 19 125603
41 17 133617
34 20 55229
33 41 72132
27 1 47830
40 22 78235
40 19 29088
26 31 156917
24 31 69969
15 16 108523
8 9 41754
10 39 87669
44 35 134912
45 7 140911
37 44 152812
4 37 66902
41 20 138813
23 3 166613
34 1 9350
4 32 82154
44 6 181702
36 44 158198
28 30 109027
31 13 131535
3 34 100838
33 9 57545
31 7 83515
45 32 107970
38 26 144640
20 10 114451
7 9 113960
31 25 85556
40 3 99035
17 23 176331
9 11 49517
5 37 108967
41 12 101066
3 28 82832
41 7 49289
12 30 148037
12 9 127397
45 14 100866
27 43 84359
21 22 101263
39 19 58587
7 39 68993
35 38 65109
9 6 123337
33 16 86410
25 36 117164
20 4 104289
16 41 143647
31 21 101451
38 30 111702
37 28 19586
32 9 120001
19 21 98994
19 16 68246
15 45 59524
33 38 3862
28 7 90787
23 25 100307
28 27 88508
36 17 92994
38 4 74519
10 40 75750
5 38 116561
26 6 214294
26 41 220634
22 12 101058
45 3 156362
26 19 169510
17 39 138236
24 14 78810
29 45 148835
11 30 91365
1 24 51577
31 3 143040
17 7 163554
26 18 260164
24 20 17588
29 39 28591
45 41 117646
10 24 113767
16 39 55134
41 24 138129
23 2 172475
33 22 75585
8 4 117459
32 12 91390
42 25 64173
22 28 62048
38 22 71723
20 35 12838
2 24 170056
15 19 66091
6 5 122062
27 42 68157
25 32 103116
35 5 68717
19 8 115415
13 33 62144
38 24 69859
35 45 162918
35 3 113014
18 9 81934
7 44 182958
33 30 115564
40 13 109396
26 28 156609
25 4 131665
15 25 152775
5 30 55351
44 43 168249
30 4 156343
14 43 90371
41 23 174120
3 14 138180
22 27 70042
8 44 89456
6 7 36277
21 37 108762
24 22 69781
30 36 109471
26 3 121194
2 15 150111
7 10 150350
17 11 140758
30 6 176783
37 10 39977
42 20 17349
37 17 72964
5 4 136674
1 11 92642
25 3 165272
25 13 175649
23 38 118708
17 32 123941
28 19 12901
15 6 110863
45 8 125109
21 42 31721
30 42 91296
4 12 53952
11 15 91532
44 3 216058
8 35 45456
35 11 53219
43 29 91428
18 35 85636
35 23 106535
19 34 95918
33 12 70075
25 24 64412
36 41 103641
22 17 137070
5 9 65015
37 19 32487
24 9 8452
45 27 94854
25 5 120975
21 30 80432
31 16 40612
19 4 60217
44 38 160429
11 24 57969
6 8 120663
28 13 93209
35 25 59662
12 34 122027
20 33 66681
32 18 201935
9 2 161604
21 26 177012
40 17 108737
26 5 202093
37 16 74931
13 17 96085
12 37 58596
43 20 70639
31 4 92126
28 33 31065
6 14 147632
24 16 110581
20 8 50890
10 16 114908
11 23 58360
17 2 166525
22 8 40871
39 24 55447
27 36 88952
16 6 130635
30 41 183123
6 19 109758
39 18 128929
5 13 134391
34 26 183171
9 31 61517
19 20 84622
14 13 52277
1 3 91488
11 5 101020
24 43 69955
22 39 16362
2 18 243538
45 20 171276
4 29 64359
33 40 47252
21 18 121868
29 26 165942
5 31 118064
28 29 74277
2 19 149006
28 5 89358
26 8 136476
44 32 178366
9 38 61407
40 34 99204
43 41 68174
16 9 102129
9 27 76370
41 42 133127
17 45 166080
6 29 76679
26 30 161154
1 41 100130
18 3 191246
19 1 102185
44 20 140346
16 34 138362
18 31 143451
26 17 111476
42 10 97102
2 40 122244
36 9 88831
3 22 127352
45 42 163011
30 2 205480
24 34 54545
22 30 105205
25 38 117367
43 26 152460
17 33 61485
44 33 164291
11 20 58653
13 30 81428
25 39 71034
34 35 49795
40 15 69365
20 2 170740
23 29 84429
37 31 79794
36 19 13345
14 7 128685
37 35 72726
29 25 67306
8 10 139453
2 25 155352
32 28 93521
24 23 111285
25 44 75250
42 28 80174
45 4 160018
33 37 11479
35 2 157902
33 3 51767
39 5 103542
21 5 25081
2 27 170317
4 23 133442
18 28 170321
16 14 119870
18 33 139489
30 29 117434
42 40 96361
1 20 52261
38 10 47594
30 19 121928
28 38 27203
43 15 49029
1 36 92811
20 30 108645
42 9 8213
22 6 88908
27 39 58724
10 22 98987
39 36 46130
4 10 106879
29 5 74951
45 36 113146
36 28 444
20 27 85506
25 11 68512
21 38 101341
11 44 140092
2 26 253542
24 13 112221
15 38 41209
45 33 104595
2 4 147949
4 6 78818
41 22 101920
12 45 151712
40 9 104574
45 9 162140
12 5 128368
42 15 103487
12 29 92179
10 3 103223
14 32 144296
8 37 104977
11 21 89451
11 11
9 10 552506
6 7 483906
2 5 495482
6 10 676163
3 4 368973
10 8 864091
7 3 842600
1 11 34580
3 6 358694
9 5 768595
11 8 716527
39 528
11 25 166730
19 39 99016
26 13 189919
11 31 119971
18 38 124337
39 2 33653
14 35 143928
16 8 83424
6 11 201531
10 23 209763
9 37 39895
29 5 74600
12 2 82459
26 22 175380
39 17 151900
25 8 19282
32 28 144507
30 5 84110
13 18 182494
31 18 149731
37 5 54606
18 2 170591
15 36 110837
39 6 86067
3 17 179371
22 10 214621
38 29 88647
33 20 211840
5 16 21637
13 36 103309
31 3 192357
12 39 58269
6 35 95313
27 39 97922
6 32 79884
3 15 122371
38 30 140864
18 27 124791
39 14 120887
30 31 164234
31 36 59379
20 25 93528
32 16 114788
9 32 80091
24 6 153741
36 14 122715
10 12 144218
36 38 30119
39 16 37324
22 12 190916
11 30 171337
25 19 73788
23 20 194809
18 36 96242
27 10 189460
12 11 170043
20 2 153999
9 24 84359
8 26 133953
35 27 117462
1 37 124971
33 2 142108
38 27 58668
31 17 138250
13 39 46898
13 38 133428
23 37 120495
1 6 76643
7 37 114955
31 33 150429
17 26 171371
32 29 75904
30 19 142422
10 39 158160
29 13 44781
28 10 113036
30 3 99409
21 8 98419
9 28 64416
8 23 120563
3 20 48963
33 36 94563
1 8 164220
31 19 138972
2 37 51530
9 17 106612
16 29 77321
30 12 57672
13 34 100364
39 38 99492
20 36 117277
35 36 88913
36 5 85060
34 8 118418
6 17 151151
37 30 128589
9 21 70660
39 35 120672
39 15 50988
6 9 69382
31 16 149350
21 24 127979
37 20 140096
7 11 207209
22 2 150278
31 28 155073
27 6 106500
20 18 21035
21 11 169879
28 20 98082
13 28 111049
13 20 161459
15 29 65071
38 10 214629
39 20 120346
22 37 124927
25 30 93408
15 4 170204
7 1 105187
27 15 82288
20 35 163701
20 30 108118
28 3 49119
21 16 89643
8 20 74246
16 3 108707
30 27 139294
9 31 125046
8 35 137265
21 34 106342
7 25 134922
4 5 134903
27 14 94166
31 38 63152
31 39 128752
26 19 133768
16 18 176388
13 16 84222
37 34 35589
14 16 154270
11 35 149505
5 35 104985
28 26 157789
10 18 223045
1 10 179605
9 22 120092
18 4 36290
20 21 172665
17 36 145239
9 34 68612
33 24 113255
9 23 80600
2 6 119720
26 39 161375
27 26 121049
13 19 78608
2 11 150656
13 15 97886
2 23 110786
20 32 197810
7 30 172749
20 17 228229
27 5 113609
29 26 145138
7 21 145720
8 30 74126
35 21 121132
4 2 144126
30 22 197138
7 36 140727
10 7 227402
39 7 104326
8 33 191066
30 24 129437
6 12 140206
20 9 145609
24 16 114553
30 18 87083
29 18 139055
17 23 176214
34 31 56434
28 33 176338
3 14 161475
34 26 89555
26 12 117499
12 14 127872
8 32 123564
15 6 114552
10 25 108482
34 7 143672
30 26 175171
32 24 147195
19 32 94017
23 4 206219
20 15 171334
7 2 126497
22 7 86511
1 15 72433
15 35 135444
14 28 121464
23 19 80519
16 19 111148
5 39 15687
25 32 139953
28 6 130898
2 19 65363
31 12 150620
19 11 146075
29 7 94961
24 23 164959
23 36 146267
2 1 115262
20 27 145826
21 29 50759
26 1 154955
9 11 132149
33 3 216349
1 9 85076
29 8 67377
31 21 81198
4 35 134179
33 29 131823
7 15 120230
9 10 152342
19 24 98285
29 19 33827
22 15 107449
21 6 54961
30 39 68423
28 12 40290
18 37 119061
5 28 85623
20 12 90700
27 23 117718
7 9 75060
22 32 69643
37 13 64775
33 22 8170
11 20 177869
5 19 94397
33 30 205308
1 20 230685
18 19 172882
7 33 78341
25 17 166474
35 10 226465
38 25 106147
32 37 95898
3 2 105036
22 19 134018
18 23 215844
36 4 59952
14 23 23552
31 25 159627
2 14 87234
13 2 13245
29 1 104977
23 32 54821
5 15 35301
21 30 120742
26 16 182471
28 19 78342
2 32 107440
26 14 126927
3 24 139285
15 28 109586
28 1 149492
2 30 102076
12 18 111735
13 21 95540
11 33 161045
18 7 149323
24 37 57226
6 13 122604
39 37 70293
19 9 13926
35 30 178968
16 11 156453
22 3 218490
16 34 92916
36 26 92500
9 35 90274
8 5 61787
14 33 54874
19 6 55456
19 8 93070
16 4 149923
21 33 102958
22 38 116512
17 22 144382
3 9 104427
27 33 123112
22 1 35016
38 14 152834
22 29 139993
34 3 143701
2 17 118247
8 2 79753
32 14 78373
12 29 50923
36 19 79593
16 30 105747
27 25 96980
10 20 202010
12 32 126827
3 25 44565
25 24 94720
4 6 195001
37 14 96943
23 22 86596
25 12 35736
16 9 97222
19 38 109712
15 25 105032
13 7 139742
19 27 51044
31 7 196121
18 5 157068
2 21 82295
31 5 144439
4 31 113441
13 32 120685
18 35 169440
1 19 99002
3 4 106288
4 29 112590
25 39 65382
11 14 189197
38 4 90071
1 36 121409
32 35 146277
20 38 145372
28 30 97962
24 17 163931
3 27 141545
10 2 191813
14 15 100461
33 15 99279
7 8 150426
26 5 177062
37 25 67604
2 29 31536
10 6 221724
21 10 197506
31 35 142402
20 7 170358
12 33 182746
31 10 250154
37 10 176086
37 35 50379
33 13 128863
33 23 78426
18 32 214959
4 14 182667
10 19 166268
21 18 189814
36 9 65667
33 34 97508
12 4 108465
6 37 109277
35 29 70373
34 23 149212
5 2 49340
4 10 252683
29 30 108595
14 18 216004
32 39 77464
25 35 117983
32 30 145887
3 23 145846
6 5 101754
38 34 33064
8 27 116262
5 10 142473
18 8 95281
22 16 153513
24 4 78644
33 1 26846
7 28 139476
12 38 139570
4 39 119216
34 14 125660
33 19 125848
11 5 151542
22 28 184508
12 5 73956
15 10 107172
17 1 163058
25 28 4554
31 15 142982
6 25 126344
32 26 105737
29 24 77220
4 19 139545
15 24 129529
1 27 122194
32 17 162615
12 34 106506
26 33 181801
23 15 124013
10 8 127764
6 22 111659
6 16 123391
25 1 144938
11 13 163901
20 22 203670
21 37 70753
10 3 153047
31 8 167074
20 19 159535
25 21 117701
24 1 140101
9 14 57048
2 35 93789
34 17 142294
14 8 136192
28 24 99274
21 15 103307
20 5 136033
7 27 112178
9 15 45170
4 27 88501
6 29 89283
7 38 170846
15 30 119411
19 17 95695
6 33 103489
8 15 97088
33 37 133097
5 14 135762
17 7 57871
36 37 38534
32 21 25145
39 8 46100
16 1 129371
35 13 80544
15 34 113782
39 28 69936
24 22 105085
6 30 154490
26 20 203887
4 33 154515
35 16 107706
39 24 88065
33 32 77813
37 3 112169
32 38 135768
17 8 154088
8 4 124919
9 13 64682
2 36 90064
6 36 135049
38 23 176386
27 9 37118
14 30 185544
3 1 189503
13 1 102017
38 37 68653
4 26 146562
23 29 100501
24 11 85174
1 23 51580
17 15 135302
31 2 143553
32 10 222651
38 1 151528
25 34 103193
35 22 175306
9 8 79144
33 5 134580
18 39 141381
31 27 87928
11 17 205831
5 32 93151
29 14 76949
12 7 145884
14 31 150989
29 36 58528
18 11 156834
37 31 92023
21 1 129804
10 14 207633
32 36 131995
20 6 206413
9 39 85090
22 18 182635
5 23 126817
13 25 106495
30 1 191844
18 9 158956
38 11 96601
4 32 186057
18 26 182852
16 20 157670
2 26 176674
38 28 110701
8 12 16454
2 16 70977
34 22 89338
4 20 57325
18 24 112910
11 36 66482
6 7 116590
23 31 127437
28 27 101534
13 4 157371
8 36 115473
1 32 104659
35 19 104200
23 26 103375
16 23 148454
27 24 47241
27 16 124410
39 34 72318
13 8 87213
4 1 181361
5 9 80471
31 32 72616
16 15 56938
7 3 175709
24 13 122001
17 21 137470
25 4 144201
38 9 95786
16 10 164110
16 7 67002
24 35 107605
34 30 107800
18 124
1 15 167926
8 3 115832
17 2 118506
8 15 17980
10 1 418938
18 6 138465
10 9 513992
11 5 119865
6 11 196374
11 12 197700
8 7 114197
15 9 149994
16 10 574566
11 3 185261
11 7 44768
3 12 143231
5 12 77835
3 18 106788
10 2 475968
14 4 159037
2 6 21875
1 2 84063
10 14 492874
16 5 255138
18 2 121864
13 6 409508
14 8 147814
12 9 255570
18 9 141058
12 4 139494
14 9 279828
15 16 246679
14 3 162774
8 4 11223
17 4 99693
6 12 19238
8 2 130908
7 14 262011
13 11 391439
6 8 147509
7 4 117951
3 6 162469
10 5 395496
15 10 399958
16 3 320534
17 5 38034
14 11 217243
8 13 322010
14 6 61196
4 3 127055
16 2 239691
17 6 123664
18 4 20267
13 1 393014
2 7 239596
18 1 140902
12 18 119227
2 13 392907
9 1 177328
4 15 21734
14 18 138770
11 17 157899
7 18 123241
6 4 158732
17 15 106450
2 12 2637
7 12 236959
6 7 217721
3 9 247846
10 7 333616
7 1 155533
13 17 331538
5 1 99510
16 4 239922
8 9 132014
15 18 27024
9 13 454024
2 11 200337
11 1 200301
17 10 357462
13 5 312435
7 15 96217
16 14 279012
2 4 142131
